sample_idx,lambda,num_think_tokens,kept_tokens,dropped_tokens,skip_reason,occupancy@1,occupancy@2,occupancy@3,occupancy@4,occupancy@5
209,0.01,988,717,271,,0.9701492537313433,0.9104477611940298,0.8706467661691547,0.8861940298507462,0.8791044776119394
210,0.01,987,725,262,,0.9607843137254902,0.8660130718954249,0.8518518518518525,0.8725490196078431,0.8692810457516336
211,0.01,6770,4108,2662,,0.9713467048710601,0.9040114613180515,0.8815663801337152,0.8889684813753582,0.9008595988538705
212,0.01,3375,1953,1422,,0.5696594427244582,0.49226006191950467,0.45717234262125916,0.4473684210526316,0.43219814241486126
213,0.01,754,698,56,,0.9872881355932204,0.9597457627118644,0.9562146892655361,0.9502118644067796,0.9567796610169499
214,0.01,1826,1054,772,,0.8625,0.821875,0.810416666666665,0.79140625,0.7962500000000015
215,0.01,555,331,224,,0.9156626506024096,0.8704819277108434,0.8855421686746988,0.8614457831325302,0.8783132530120478
216,0.01,617,111,506,,0.8244897959183674,0.7204081632653061,0.6979591836734688,0.7020408163265306,0.7102040816326529
217,0.01,3248,1656,1592,,0.9415584415584416,0.8798701298701299,0.8715728715728724,0.8706709956709957,0.8679653679653715
218,0.01,2499,1812,687,,0.9452554744525548,0.916058394160584,0.8941605839416048,0.875,0.8919708029197089
219,0.01,580,263,317,,0.6607142857142857,0.6450892857142857,0.6220238095238095,0.5904017857142857,0.584821428571428
220,0.01,1653,1524,129,,0.9616858237547893,0.9157088122605364,0.9144316730523622,0.9272030651340997,0.9126436781609206
221,0.01,390,206,184,,0.9402985074626866,0.9328358208955224,0.8855721393034819,0.8855721393034826,0.8905472636815926
222,0.01,688,524,164,,0.936046511627907,0.8866279069767442,0.8585271317829457,0.8604651162790697,0.85
223,0.01,2,,,truncated_max_new_tokens,,,,,
224,0.01,2975,2252,723,,0.9867256637168141,0.9292035398230089,0.9269911504424787,0.9126106194690266,0.9230088495575247
225,0.01,1739,605,1134,,0.8730769230769231,0.8480769230769231,0.8346153846153835,0.8201923076923077,0.827692307692309
226,0.01,820,618,202,,0.9363957597173145,0.8904593639575972,0.8963486454652523,0.8913427561837456,0.9024734982332164
227,0.01,701,294,407,,0.9325153374233128,0.843558282208589,0.8527607361963198,0.8282208588957055,0.8257668711656433
228,0.01,1586,1392,194,,0.9814814814814815,0.9518518518518518,0.9518518518518514,0.9361111111111111,0.9340740740740756
229,0.01,931,810,121,,0.9577464788732394,0.9066901408450704,0.9260563380281687,0.9163732394366197,0.8992957746478888
230,0.01,594,525,69,,0.9560439560439561,0.9258241758241759,0.9102564102564097,0.9162087912087912,0.9120879120879127
231,0.01,1499,393,1106,,0.8952702702702703,0.8344594594594594,0.8209459459459442,0.8226351351351351,0.8182432432432448
232,0.01,3407,2437,970,,0.9623430962343096,0.899581589958159,0.9107391910739182,0.9152719665271967,0.902928870292888
233,0.01,520,518,2,,0.9788359788359788,0.9841269841269841,0.9700176366843031,0.9748677248677249,0.9820105820105821
234,0.01,1014,602,412,,0.9220338983050848,0.8966101694915254,0.901694915254236,0.9135593220338983,0.910508474576273
235,0.01,1253,943,310,,0.944078947368421,0.9177631578947368,0.9144736842105261,0.9021381578947368,0.9144736842105278
236,0.01,699,500,199,,0.967741935483871,0.9059139784946236,0.8978494623655914,0.8776881720430108,0.8946236559139792
237,0.01,3643,3329,314,,0.9746376811594203,0.9510869565217391,0.9402173913043492,0.9343297101449275,0.9336956521739157
238,0.01,696,253,443,,0.9157303370786517,0.8455056179775281,0.8389513108614229,0.8342696629213483,0.8483146067415724
239,0.01,733,151,582,,0.7363344051446945,0.5932475884244373,0.5669882100750262,0.5610932475884244,0.5697749196141476
240,0.01,791,240,551,,0.9512195121951219,0.8731707317073171,0.8813008130081295,0.8731707317073171,0.8643902439024393
241,0.01,762,395,367,,0.9219858156028369,0.8652482269503546,0.8510638297872349,0.8315602836879432,0.8468085106382968
242,0.01,1241,1103,138,,0.9814241486068112,0.9489164086687306,0.9298245614035086,0.9311145510835913,0.9306501547987629
243,0.01,704,698,6,,0.9591836734693877,0.9523809523809523,0.947845804988662,0.9421768707482994,0.9428571428571428
244,0.01,564,162,402,,0.9174311926605505,0.8211009174311926,0.8180428134556574,0.8291284403669725,0.8247706422018353
245,0.01,685,526,159,,0.9615384615384616,0.9203296703296703,0.9047619047619047,0.9203296703296703,0.9208791208791213
246,0.01,1407,844,563,,0.9505703422053232,0.9049429657794676,0.8897338403041818,0.8906844106463878,0.892775665399241
247,0.01,923,52,871,,0.9012987012987013,0.8103896103896104,0.7956709956709953,0.7753246753246753,0.782337662337665
248,0.01,2,,,truncated_max_new_tokens,,,,,
